GenerationFilters.Include	Resource	ShortTitle	Category	Possible Mitigation	References
target is Azure Key Vault and  ( target.Credential Type is 'Certificates' or  target.Credential Type is 'Secrets and Certificates' )	Azure Key Vault	Failure to restrict allowed key types for Azure Key Vault SSL certificates could lead to information disclosure	Information Disclosure	"<p>Ensure that your Microsoft Azure Key Vault SSL certificates are using the allowed key type(s) for security and compliance purposes.</p>

<p>Having the right key type set for your Azure Key Vault SSL certificates will enforce the best practices as specified in the security and compliance regulations implemented within the Cryptography Security Policy.</p>

"	"<p>About keys, secrets, and certificates: <a href=""https://docs.microsoft.com/en-us/azure/key-vault/general/about-keys-secrets-certificates"">https://docs.microsoft.com/en-us/azure/key-vault/general/about-keys-secrets-certificates</a></p>
<p>Get started with Key Vault certificates: <a href=""https://docs.microsoft.com/en-us/azure/key-vault/general/about-keys-secrets-certificates"">https://docs.microsoft.com/en-us/azure/key-vault/general/about-keys-secrets-certificates</a></p>
<p>Manage certificates via Azure Key Vault: <a href=""https://docs.microsoft.com/en-us/archive/blogs/kv/manage-certificates-via-azure-key-vault"">https://docs.microsoft.com/en-us/archive/blogs/kv/manage-certificates-via-azure-key-vault</a></p>
<p>Cryptography Security Policy <a href=""https://jsainsbury.sharepoint.com/sites/OurSainsburys-DoingYourJob/SitePages/Information-Security.aspx#policies"">https://jsainsbury.sharepoint.com/sites/OurSainsburys-DoingYourJob/SitePages/Information-Security.aspx#policies</a></p>

<p>Azure CLI Documentation:</p>
<p>az keyvault list: <a href=""https://docs.microsoft.com/en-us/cli/azure/keyvault?view=azure-cli-latest#az-keyvault-list"">https://docs.microsoft.com/en-us/cli/azure/keyvault?view=azure-cli-latest#az-keyvault-list</a></p>
<p>az keyvault certificate list: <a href=""https://docs.microsoft.com/en-us/cli/azure/keyvault/certificate?view=azure-cli-latest#az-keyvault-certificate-list"">https://docs.microsoft.com/en-us/cli/azure/keyvault/certificate?view=azure-cli-latest#az-keyvault-certificate-list</a></p>
<p>az keyvault certificate show: <a href=""https://docs.microsoft.com/en-us/cli/azure/keyvault/certificate?view=azure-cli-latest#az-keyvault-certificate-show"">https://docs.microsoft.com/en-us/cli/azure/keyvault/certificate?view=azure-cli-latest#az-keyvault-certificate-show</a></p>
<p>az keyvault certificate set-attributes: <a href=""https://docs.microsoft.com/en-us/cli/azure/keyvault/certificate?view=azure-cli-latest#az-keyvault-certificate-set-attributes"">https://docs.microsoft.com/en-us/cli/azure/keyvault/certificate?view=azure-cli-latest#az-keyvault-certificate-set-attributes</a></p> "
( target is Azure Key Vault ) and  (target.Credential Type is 'Secrets and Certificates' or  target.Credential Type is 'Certificates')	Azure Key Vault	Failure to securely manage certificate lifecycle in Azure Key Vault may lead to data disclosure	Information Disclosure	"<p>Follow the Azure Key Vault best practice to securely manage your certificate lifecycle in the key vault. This includes the key creation/import, rotation, revocation, storage, and purge of the certificate.</p>

"	"<p>Azure Key Vault certificate management: <a href=""https://docs.microsoft.com/azure/key-vault/certificates/create-certificate-scenarios"">https://docs.microsoft.com/azure/key-vault/certificates/create-certificate-scenarios</a></p> "
( target is Azure Key Vault ) and  ( target.Credential Type is 'Secrets' or  target.Credential Type is 'Secrets and Certificates' )	Azure Key Vault	Failure to securely manage key lifecycles in Azure Key Vault may lead to data disclosure.	Information Disclosure	"<p>Follow the Azure Key Vault best practices to securely manage your key lifecycle in key vault. This includes the key generation, distribution, storage, rotation, and revocation.</p>
"	"<p>Azure Key Vault key management: <a href=""https://docs.microsoft.com/azure/key-vault/keys/about-keys-details#key-access-control"">https://docs.microsoft.com/azure/key-vault/keys/about-keys-details#key-access-control</a></p> "
target is Azure Storage Account	Azure Storage Account	Failure to enforce secure protocols for data encryption-in-transit may lead to data disclosure.	Information Disclosure	"<p>While Azure Storage uses TLS 1.2 on public HTTPS endpoints, TLS 1.0 and TLS 1.1 are still supported for backward compatibility.</p>

<p>To ensure clients do not connect with protocols that do not comply with the Cryptography Security Policy a minimum TLS version should be enforced.</p>"	"<p>Enforce a minimum required version of Transport Layer Security (TLS) for requests to a storage account: <a href=""https://docs.microsoft.com/azure/storage/common/transport-layer-security-configure-minimum-version?tabs=portal"">https://docs.microsoft.com/azure/storage/common/transport-layer-security-configure-minimum-version?tabs=portal</a></p> "
target is Azure Storage Account	Azure Storage Account	Data may be exfiltrated from a storage account undetected due to failure to monitor for anomalous activity.	Information Disclosure	"<p>Defender for Storage continually analyzes the telemetry stream generated by the Azure Blob Storage and Azure Files services. When potentially malicious activities are detected, security alerts are generated. These alerts are displayed in Microsoft Defender for Cloud, together with the details of the suspicious activity along with the relevant investigation steps, remediation actions, and security recommendations.</p>

<p>Microsoft Defender for Storage is built into Microsoft Defender for Cloud. When you enable Microsoft Defender for Cloud's enhanced security features on your subscription, Microsoft Defender for Storage is automatically enabled for all of your storage accounts. You may enable or disable Defender for Storage for individual storage accounts under a specific subscription.</p>"	"<p>Configure Microsoft Defender for Storage: <a href=""https://docs.microsoft.com/azure/storage/common/azure-defender-storage-configure?tabs=azure-security-center"">https://docs.microsoft.com/azure/storage/common/azure-defender-storage-configure?tabs=azure-security-center</a></p>"
target is Azure API Management	Azure API Management	"An adversary can deny performing acts on {target.Name} due to a lack of auditing, leading to repudiation issues."	Repudiation	"<p>Enable resource logs for API Management, resource logs provide rich information about operations and errors that are important for auditing and troubleshooting purposes. Categories of resource logs for API Management include:</p>

<p>- GatewayLogs<br/>
- WebSocketConnectionLogs</p>

<p>Resource logs can be configured to collect the required information and send them to a data sink such as a storage account or log analytics workspace.</p>

"	"<p>APIM Resource Logs:  <a href=""https://docs.microsoft.com/azure/api-management/api-management-howto-use-azure-monitor#resource-logs"">https://docs.microsoft.com/azure/api-management/api-management-howto-use-azure-monitor#resource-logs</a></p>
"
target is Azure Data Factory	Azure Data Factory	An adversary can deny performing acts on Azure Data Factory due to lack of auditing leading to repudiation issues.	Repudiation	<p>Activity logs are available automatically and these should be actively monitored to detect events such as resources being modified.  Microsoft Defender for Cloud and Azure Policy can be used to enable resources logs and log data collection.  Azure Data Factory resource logs are not collected by Azure Monitor until they are routed to a destination.</p>	"<p>Diagnostic settings in Azure Monitor:  <a href=""https://learn.microsoft.com/en-gb/azure-monitor/essentials/diagnostic-settings"">https://learn.microsoft.com/en-gb/azure-monitor/essentials/diagnostic-settings</a></p>
<p>Supported Resource log categories for Azure monitor: <a href=""https://learn.microsoft.com/en-us/azure/azure-monitor/reference/logs-index"">https://learn.microsoft.com/en-us/azure/azure-monitor/reference/logs-index</a></p>"
target is Azure Data Lake Storage	Azure Data Lake Storage	An adversary can deny actions on Azure Data Lake Storage due to failure to audit leading to repudiation issues.	Repudiation	"<p>Ingest logs via Azure Monitor to aggregate security data generated by endpoint devices, network resources, and other security systems.  Resource logs are not collected by Azure Monitor until they are routed to a destination.</p>"	"<p>Monitoring Azure Blob Storage:  <a href=""https://docs.microsoft.com/azure/storage/blobs/monitor-blob-storage"">https://docs.microsoft.com/azure/storage/blobs/monitor-blob-storage</a></p>
<p>Diagnostic settings in Azure Monitor:  <a href=""https://learn.microsoft.com/en-gb/azure/azure-monitor/essentials/diagnostic-settings"">https://learn.microsoft.com/en-gb/azure/azure-monitor/essentials/diagnostic-settings</a></p>
<p>Supported Resource log categories for Azure Monitor:  <a href=""https://learn.microsoft.com/en-us/azure/azure-monitor/reference/logs-index"">https://learn.microsoft.com/en-us/azure/azure-monitor/reference/logs-index</a></p> "
target is Azure Data Lake Storage	Azure Data Lake Storage	An adversary can deny actions on Azure Data Lake Storage due to lack of auditing.	Repudiation	"<p>Proper logging of all security events and user actions builds traceability in a system and denies any possible repudiation issues. In the absence of proper auditing and logging controls, it would become impossible to implement any accountability in a system.</p>
"	"<p>Use Azure Storage Analytics to audit access of Azure Storage. If possible, audit the calls to the Azure Storage instance at the source of the call: <a href=""https://aka.ms/tmt-th20"">https://aka.ms/tmt-th20</a></p> "
target is Azure Key Vault	Azure Key Vault	An unauthorised user can deny making unsolicited changes to Azure Key Vault	Repudiation	"<p>Ensure that an Azure activity log alert is fired whenever ""Update Key Vault"" events are triggered within your Microsoft Azure cloud account. Activity log alerts get triggered when a new activity log event that matches the condition specified in the alert configuration occurs. For this conformity rule, the matched condition is ""Whenever the Activity Log has an event with Category='Administrative', Signal name='Update Key Vault (vaults)'"".</p>

<p>Monitoring your Microsoft Azure account for ""Update Key Vault"" events will give you insights into the configuration changes made at the Azure Key Vault level and help you reduce the time it takes to detect any unauthorized activity performed on the resource and mitigate all unwanted behavior.</p>

"	"<p>Azure Key Vault logging: <a href=""https://docs.microsoft.com/azure/key-vault/general/logging?tabs=Vault"">https://docs.microsoft.com/azure/key-vault/general/logging?tabs=Vault</a></p>
<p>Create, view, and manage activity log alerts by using Azure Monitor: <a href=""https://docs.microsoft.com/en-us/azure/azure-monitor/platform/alerts-activity-log"">https://docs.microsoft.com/en-us/azure/azure-monitor/platform/alerts-activity-log</a></p>
<p>Create, view, and manage log alerts using Azure Monitor: <a href=""https://docs.microsoft.com/en-us/azure/azure-monitor/platform/alerts-activity-log"">https://docs.microsoft.com/en-us/azure/azure-monitor/platform/alerts-activity-log</a></p>
<p>Supported Resource log categories for Azure Monitor:  <a href=""https://learn.microsoft.com/en-us/azure-monitor/reference/logs-index"">https://learn.microsoft.com/en-us/azure-monitor/reference/logs-index</a></p>
<p>Action rules (preview): <a href=""https://docs.microsoft.com/en-us/azure/azure-monitor/platform/alerts-action-rules"">https://docs.microsoft.com/en-us/azure/azure-monitor/platform/alerts-action-rules</a></p>

<p>Azure CLI Documentation</p>
<p>az monitor activity-log alert list: <a href=""https://docs.microsoft.com/en-us/cli/azure/monitor/activity-log/alert?view=azure-cli-latest#az-monitor-activity-log-alert-list"">https://docs.microsoft.com/en-us/cli/azure/monitor/activity-log/alert?view=azure-cli-latest#az-monitor-activity-log-alert-list</a></p>
<p>az monitor activity-log alert show: <a href=""https://docs.microsoft.com/en-us/cli/azure/monitor/activity-log/alert?view=azure-cli-latest#az-monitor-activity-log-alert-list"">https://docs.microsoft.com/en-us/cli/azure/monitor/activity-log/alert?view=azure-cli-latest#az-monitor-activity-log-alert-list</a></p>
<p>az monitor activity-log alert create: <a href=""https://docs.microsoft.com/en-us/cli/azure/monitor/activity-log/alert?view=azure-cli-latest#az-monitor-activity-log-alert-create"">https://docs.microsoft.com/en-us/cli/azure/monitor/activity-log/alert?view=azure-cli-latest#az-monitor-activity-log-alert-create</a></p>"
target is Azure Storage Account	Azure Storage Account	An adversary can deny actions on Azure Storage Account due to failure to audit leading to repudiation issues.	Repudiation	"<p>Ingest logs via Azure Monitor to aggregate security data generated by endpoint devices, network resources, and other security systems.  Resource logs are not collected by Azure Monitor until they are routed to a destination.</p>

"	"<p>Monitoring Azure Blob Storage:  <a href=""https://docs.microsoft.com/azure/storage/blobs/monitor-blob-storage"">https://docs.microsoft.com/azure/storage/blobs/monitor-blob-storage</a></p>
<p>Diagnostic settings in Azure Monitor:  <a href=""https://learn.microsoft.com/en-gb/azure/azure-monitor/essentials/diagnostic-settings"">https://learn.microsoft.com/en-gb/azure/azure-monitor/essentials/diagnostic-settings</a></p>
<p>Supported Resource log categories for Azure Monitor:  <a href=""https://learn.microsoft.com/en-us/azure/azure-monitor/reference/logs-index"">https://learn.microsoft.com/en-us/azure/azure-monitor/reference/logs-index</a></p> "
target is Azure API Management	Azure API Management	Use of weak authentication methods for Azure API Management service instances may allow attackers to intercept and modify API calls	Spoofing	"<p>Avoid the use of local authentication methods or accounts, these should be disabled wherever possible.  Instead use Entra ID to authenticate.</p>

<p>Use OAuth 2.0 authorisation with Microsoft Entra ID to authenticate users or applications to an API, this uses OAuth and JWT tokens to authenticate and authorise requests passed to the API.</p>

<p>Extra security can be achieved by configuring Azure API Management service instances to use client certificates for authentication, establishing trust between API clients and Azure API Management.</p>

<p>Securing access to Azure API Management services using client certificates provides an additional layer of authentication and ensures that only authorized clients with the correct certificates can access the APIs, enhancing overall security and protecting sensitive data. Using client certificates makes it much more difficult for attackers to intercept and modify API calls.</p>"	"<p>Protect an API in Azure API Management using OAuth 2.0 authorization with Microsoft Entra ID: <a href=""https://learn.microsoft.com/en-gb/azure/api-management/api-management-howto-protect-backend-with-aad"">https://learn.microsoft.com/en-gb/azure/api-management/api-management-howto-protect-backend-with-aad</a></p>
<p>Authentication and authorization to APIs in Azure API Management: <a href=""https://learn.microsoft.com/en-us/azure/api-management/authentication-authorization-overview"">https://learn.microsoft.com/en-us/azure/api-management/authentication-authorization-overview</a></p>
<p>How to secure APIs using client certificate authentication in API Management: <a href=""https://learn.microsoft.com/en-us/azure/api-management/api-management-howto-mutual-certificates-for-clients"">https://learn.microsoft.com/en-us/azure/api-management/api-management-howto-mutual-certificates-for-clients</a></p>
<p>Validate client certificate: <a href=""https://learn.microsoft.com/en-us/azure/api-management/validate-client-certificate-policy"">https://learn.microsoft.com/en-us/azure/api-management/validate-client-certificate-policy</a></p> "
target is Azure API Management	Azure API Management	An unauthorised user may gain access to the Azure API Management Developer Portal	Spoofing	"<p>Ensure that your Azure API Management API services are configured to automatically enable a Microsoft Entra ID application and identity provider for users of the Developer Portal. The Developer Portal in Azure API Management is an automatically generated, fully customizable website that serves as a central hub for developers to discover, understand, and consume APIs. It provides comprehensive API documentation, interactive code samples, and secure access to APIs.</p>

<p>User sign-in with Microsoft Entra ID for Developer Portal in Azure API Management ensures secure authentication, seamless integration with existing organizational identities, and fine-grained access control. It simplifies user management, enhances security, and provides a unified experience for developers using APIs.</p>"	"<p>Authorise developer accounts by using Microsoft Entra ID in Azure API Management: <a href=""https://learn.microsoft.com/en-us/azure/api-management/api-management-howto-aad"">https://learn.microsoft.com/en-us/azure/api-management/api-management-howto-aad</a></p>
<p>Tutorial - Access and customise the developer portal: <a href=""https://learn.microsoft.com/en-us/azure/api-management/api-management-howto-developer-portal-customize"">https://learn.microsoft.com/en-us/azure/api-management/api-management-howto-developer-portal-customize</a></p> "
target is Azure API Management	Azure API Management	Using service principals or basic authentication for services connecting to {target.name} may lead to credentials being exposed in code or through poor storage and management.	Spoofing	"<p>Use a Managed Service Identity generated by Azure Active Directory (Azure AD) to allow your API Management instance to easily and securely access other Azure AD-protected resources, such as Azure Key Vault instead of using service principals. Managed identity credentials are fully managed, rotated, and protected by the platform, avoiding hard-coded credentials in source code or configuration files.</p>"	"<p>Authenticate with managed identity: <a href=""https://docs.microsoft.com/azure/api-management/api-management-authentication-policies#ManagedIdentity"">https://docs.microsoft.com/azure/api-management/api-management-authentication-policies#ManagedIdentity</a></p>"
source is Azure Data Factory	Azure Data Factory	Attackers may be able to gain unauthorised access to the data plane due to use of weak authentication for Azure Data Factory	Spoofing	"<p>Use managed identities when authenticating Data Factory with Azure services and resources that support Azure AD authentication.  Ensure the ""identity"" keyword is used when using the SDK or REST API to create a data factory.</p>

"	"<p>Managed identity for Azure Data Factory: <a href=""https://learn.microsoft.com/en-us/azure/data-factory/data-factory-service-identity"">https://learn.microsoft.com/en-us/azure/data-factory/data-factory-service-identity</a></p>"
source is Azure Data Factory	Azure Data Factory	Credentials may be exposed if system-assigned Managed Identities are not used to authenticate Azure Data Factory when connecting to other Azure resources.	Spoofing	"<p>Managed identities eliminate the need to manage credentials.  Managed identities provide an identity for the service instance when connecting to resources that support Microsoft Entra Authentication.</p>

<p>If Azure Data Factory is assigned a system-assigned managed identity then this can be used to facilitate access to Azure Storage and Azure Key Vault as a trusted service.</p>"	"<p>What are managed identities for Azure resources?: <a href=""https://learn.microsoft.com/en-gb/entra/identity/managed-identities-azure-resources/overview"">https://learn.microsoft.com/en-gb/entra/identity/managed-identities-azure-resources/overview</a></p>
<p>Managed identity for Azure Data Factory: <a href=""https://learn.microsoft.com/en-gb/azure/data-factory/data-factory-service-identity"">https://learn.microsoft.com/en-gb/azure/data-factory/data-factory-service-identity</a></p>
<p>Data Factory is now a 'Trusted Service' in Azure Storage and Azure Key Vault firewall: <a href=""https://techcommunity.microsoft.com/blog/azuredatafactoryblog/data-factory-is-now-a-trusted-service-in-azure-storage-and-azure-key-vault-firew/964993"">https://techcommunity.microsoft.com/blog/azuredatafactoryblog/data-factory-is-now-a-trusted-service-in-azure-storage-and-azure-key-vault-firew/964993</a></p> "
target is Azure Data Lake Storage	Azure Data Lake Storage	An adversary may be able to access Azure Data Lake Storage objects anonymously.	Spoofing	"<p>An adversary can gain access to Azure storage containers and blobs if anonymous access is provided to potentially sensitive data accidentally.  By default, anonymous access is not permitted unless it is explicitly enabled.</p>"	"<p>Overview: Remediating anonymous read access for blob data: <a href=""https://learn.microsoft.com/en-gb/azure/storage/blobs/anonymous-read-access-overview"">https://learn.microsoft.com/en-gb/azure/storage/blobs/anonymous-read-access-overview</a></p>
<p>Ensure that only the required containers and blobs are given anonymous read access: <a href=""https://aka.ms/tmt-th85"">https://aka.ms/tmt-th85</a></p>"
target is Azure Data Lake Storage	Azure Data Lake Storage	Weak authentication may lead to Azure Data Lake Storage being accessed by an unauthorised user or resource.	Spoofing	"<p>For optimal security and ease of use it is recommended to use Microsoft Entra credentials with managed identities to authorise requests to data in Azure Storage.</p>
<p>Shared Key authorisation should be disallowed for storage accounts and shared access signatures (SAS) should only be used if necessary, and for limited delegated access to blob resources.</p>
<p>Grant limited access to objects in Azure Storage using Shared Access Signatures (SAS) with a Stored Access Policy (SAP). It is recommended to scope SAS and SAP to permit only the necessary permissions over a short period of time.</p>
<p>A service SAS that is not associate with a stored access policy cannot be revoked.  For this reason, it is recommended to limit the expiry time so that the SAS is valid for one hour or less.</p>"	"<p>Authorize access to data in Azure Storage:  <a href=""https://learn.microsoft.com/en-gb/azure/storage/common/authorize-data-access"">https://learn.microsoft.com/en-gb/azure/storage/common/authorize-data-access</a></p>
<p>Authorize access to blobs using Microsoft Entra ID: <a href=""https://learn.microsoft.com/en-gb/azure/storage/blobs/authorize-access-azure-active-directory"">https://learn.microsoft.com/en-gb/azure/storage/blobs/authorize-access-azure-active-directory</a></p>
<p>Authorize access to queues using Microsoft Entra ID: <a href=""https://learn.microsoft.com/en-gb/azure/storage/queues/authorize-access-azure-active-directory"">https://learn.microsoft.com/en-gb/azure/storage/queues/authorize-access-azure-active-directory</a></p>
<p>Authorize access to tables using Microsoft Entra ID: <a href=""https://learn.microsoft.com/en-gb/azure/storage/tables/authorize-access-azure-active-directory"">https://learn.microsoft.com/en-gb/azure/storage/tables/authorize-access-azure-active-directory</a></p>
<p>Disallow Shared Key authorization: <a href=""https://learn.microsoft.com/en-gb/azure/storage/common/shared-key-authorization-prevent"">https://learn.microsoft.com/en-gb/azure/storage/common/shared-key-authorization-prevent</a></p>
<p>Using Shared Access Signatures (SAS): <a href=""https://learn.microsoft.com/en-gb/azure/storage/common/storage-sas-overview"">https://learn.microsoft.com/en-gb/azure/storage/common/storage-sas-overview</a></p>
<p>Grant limited access to Azure Storage resources using shared access signatures (SAS): <a href=""https://aka.ms/tmt-th17a"">https://aka.ms/tmt-th17a</a></p>
<p>Define a stored access policy: <a href=""https://learn.microsoft.com/en-us/rest/api/storageservices/define-stored-access-policy"">https://learn.microsoft.com/en-us/rest/api/storageservices/define-stored-access-policy</a></p>
<p>SFTP permission model: <a href=""https://docs.microsoft.com/azure/storage/blobs/secure-file-transfer-protocol-support#sftp-permission-model"">https://docs.microsoft.com/azure/storage/blobs/secure-file-transfer-protocol-support#sftp-permission-model</a></p> "
target is Azure API Management	Azure API Management	Unauthorised users may be able to access Azure API Management APIs due to failure to restrict allowed IP addresses or block public access.	Tampering	"<p>To safeguard your Azure API Management APIs from unauthorized access, it is imperative to implement network access restrictions based on IP addresses. This requires configuring your APIs to accept requests from authorized IP addresses or designated IP address ranges. API Management supports disabling public network access either through using service-level IP filtering rules  or using a 'Disable Public Network Access' toggle switch.</p>

<p>Deploy Azure API Management inside an Azure Virtual Network (VNET) so it can access backend services within the network.  The developer portal and API Management gateway can be configured to be accessible either from the Internet (External) or only within the VNet (Internal).</p>

<p>A private endpoint should be used to secure incoming connections from Azure resources that support Private Link.  Incoming traffic should be limited to private endpoints only to prevent data exfiltration.</p>

<p>Network security groups (NSGs) can be deployed to API Management subnets to restrict or monitor traffic by port, protocol, source IP address, or destination IP address.  Create NSG rules to restrict your service's open ports (such as preventing management ports from being accessed by untrusted networks).  Unrestricted network access, which permits connections from all IP addresses, is not recommended. To configure the network (IP-based) access for your APIs, a built-in policy named ip-filter must be implemented at the API level.</p>

<p>By filtering incoming requests based on caller IP addresses in Azure API Management, you can proactively enhance security by preventing access from known malicious sources. This measure mitigates potential threats and ensures that only trusted, designated requests are allowed, minimizing the risk of unauthorized access or attacks on your API infrastructure.</p>"	"<p>Virtual network configuration reference: API Management: <a href=""https://learn.microsoft.com/en-gb/azure/api-management/virtual-network-reference"">https://learn.microsoft.com/en-gb/azure/api-management/virtual-network-reference</a></p>
<p>Use a virtual network with Azure API Management: <a href=""https://learn.microsoft.com/en-gb/azure/api-management/virtual-network-concepts"">https://learn.microsoft.com/en-gb/azure/api-management/virtual-network-concepts</a></p>
<p>Connect privately to API Management using an inbound private endpoint: <a href=""https://learn.microsoft.com/en-gb/azure/api-management/private-endpoint"">https://learn.microsoft.com/en-gb/azure/api-management/private-endpoint</a></p>
<p>How to set or edit Azure API Management policies: <a href=""https://learn.microsoft.com/en-us/azure/api-management/set-edit-policies?tabs=form"">https://learn.microsoft.com/en-us/azure/api-management/set-edit-policies?tabs=form</a></p>
<p>Restrict caller IPs: <a href=""https://learn.microsoft.com/en-us/azure/api-management/ip-filter-policy"">https://learn.microsoft.com/en-us/azure/api-management/ip-filter-policy</a></p>
<p>Disable Public Network Access: <a href=""https://docs.microsoft.com/azure/api-management/private-endpoint#optionally-disable-public-network-access"">https://docs.microsoft.com/azure/api-management/private-endpoint#optionally-disable-public-network-access</a></p>

<p>Azure PowerShell Documentation:</p>
<p>az apim list: <a href=""https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-list"">https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-list</a></p>
<p>az apim api list: <a href=""https://learn.microsoft.com/en-us/cli/azure/apim/api?view=azure-cli-latest#az-apim-api-list"">https://learn.microsoft.com/en-us/cli/azure/apim/api?view=azure-cli-latest#az-apim-api-list</a></p>
<p>New-AzApiManagementContext: <a href=""https://learn.microsoft.com/en-us/powershell/module/az.apimanagement/new-azapimanagementcontext?view=azps-11.0.0"">https://learn.microsoft.com/en-us/powershell/module/az.apimanagement/new-azapimanagementcontext?view=azps-11.0.0</a></p>
<p>Get-AzApiManagementPolicy: <a href=""https://learn.microsoft.com/en-us/powershell/module/az.apimanagement/get-azapimanagementpolicy?view=azps-11.1.0"">https://learn.microsoft.com/en-us/powershell/module/az.apimanagement/get-azapimanagementpolicy?view=azps-11.1.0</a></p>
<p>Set-AzApiManagementPolicy: <a href=""https://learn.microsoft.com/en-us/powershell/module/az.apimanagement/set-azapimanagementpolicy?view=azps-11.1.0"">https://learn.microsoft.com/en-us/powershell/module/az.apimanagement/set-azapimanagementpolicy?view=azps-11.1.0</a></p> "
target is Azure API Management	Azure API Management	Failure to enforce secure configuration across API management resources may allow attackers to compromise the infrastructure.	Tampering	"<p>Use built-in Azure Policy to monitor and enforce secure configuration across Azure Container Registry resources.  Use Azure Policy aliases in the ""Microsoft.ApiManagement"" namespace to create custom Azure Policy definitions where required.</p>

"	"<p>Audit compliance of Azure container registries using Azure Policy:  <a href=""https://learn.microsoft.com/en-gb/azure/container-registry/container-registry-azure-policy"">https://learn.microsoft.com/en-gb/azure/container-registry/container-registry-azure-policy</a></p> "
target is Azure API Management	Azure API Management	Failure to segregate network traffic to Azure API Management may allow attackers to compromise the infrastructure.	Tampering	"<p>Azure Application Gateway is a PaaS offering that acts as a Layer-7 load balancer and reverse-proxy service for access to Azure API Management.  Azure Application Gateway also proviced Azure Web Application Firewall services.</p>

"	"<p>Integrate API Management in an internal virtual network with Application Gateway: <a href=""https://learn.microsoft.com/en-gb/azure/api-management/api-management-howto-integrate-internal-vnet-appgateway"">https://learn.microsoft.com/en-gb/azure/api-management/api-management-howto-integrate-internal-vnet-appgateway</a></p> "
target is Azure Data Factory	Azure Data Factory	Failure to enforce secure configuration across Azure Data Factory resources may allow attackers to compromise the infrastructure.	Tampering	<p>Use Azure Policy to audit and restrict which services users can provision in your environment. Use Azure Resource Graph to query for and discover resources within subscriptions. You can also use Azure Monitor to create rules to trigger alerts when they detect an unapproved service.</p>	"<p>Azure Policy built-in definitions for Data Factory: <a href=""https://learn.microsoft.com/en-gb/azure/data-factory/policy-reference"">https://learn.microsoft.com/en-gb/azure/data-factory/policy-reference</a></p> "
(source is Azure Data Factory)	Azure Data Factory	An adversary may gain unauthorized access to {target.Name} if connection is insecure	Tampering	"<p>Use a self-hosted integration runtime to secure the connection between non-Azure data sources and Azure Data Factory.  Ensure the self-hosted integration runtime is installed on a Windows machine hardened to CIS Level 2 and kept regularly updated.</p>

<p>Configure a private endpoint for communication between a self-hosted integration runtime and Azure Data Factory.</p>

<p>Disable public network access (this needs to be done manually when private link is enabled with a self-hosted integration runtime).</p>"	"<p>Integration runtime in Azure Data Factory: <a href=""https://learn.microsoft.com/en-gb/azure/data-factory/concepts-integration-runtime"">https://learn.microsoft.com/en-gb/azure/data-factory/concepts-integration-runtime</a></p>

<p>Create and configure a self-hosted integration runtime: <a href=""https://learn.microsoft.com/en-gb/azure/data-factory/create-self-hosted-integration-runtime?tabs=data-factory"">https://learn.microsoft.com/en-gb/azure/data-factory/create-self-hosted-integration-runtime?tabs=data-factory</a></p>

<p>Azure Private Link for Azure Data Factory:  <a href=""https://learn.microsoft.com/en-gb/azure/data-factory/data-factory-private-link#configure-private-endpoint-for-communication-between-self-hosted-ir-and-data-factory"">https://learn.microsoft.com/en-gb/azure/data-factory/data-factory-private-link#configure-private-endpoint-for-communication-between-self-hosted-ir-and-data-factory</a></p>

<p>Note:  Issues may be encountered when using Parquet datasets with a self-hosted integration runtime.  For further details see <a href=""https://learn.microsoft.com/en-gb/azure/data-factory/format-parquet#using-self-hosted-integration-runtime"">https://learn.microsoft.com/en-gb/azure/data-factory/format-parquet#using-self-hosted-integration-runtime</a></p> "
target is Azure Data Lake Storage	Azure Data Lake Storage	An adversary may exploit weakly configured Azure Data Lake Storage to gain access.	Tampering	<p>Use Microsoft Defender for Storage to provide an additional layer of security intelligence that detects unusual and potentially harmful attempts to access or exploit storage accounts.  It uses advanced threat detection capabilities and Microsoft Threat Intelligence data to provide contextual security alerts. Those alerts also include steps to mitigate the detected threats and prevent future attacks.</p>	"<p>What is Microsoft Defender for Storage?:  <a href=""https://learn.microsoft.com/en-us/azure/defender-for-cloud/defender-for-storage-introduction"">https://learn.microsoft.com/en-us/azure/defender-for-cloud/defender-for-storage-introduction</a></p> "
target is Azure Data Lake Storage	Azure Data Lake Storage	Failure to enforce secure configuration in Azure Data Lake Storage may allow an attacker to compromise infrastructure.	Tampering	"<p>Define and implement standard security configurations for network resources associated with your Azure Storage Account with Azure Policy. Use Azure Policy aliases in the “Microsoft.Storage” and “Microsoft.Network” namespaces to create custom policies to audit or enforce the network configuration of your Storage account resources.</p>
<p>You may also make use of built-in policy definitions related to Storage account, such as: Storage Accounts should use a virtual network service endpoint.</p>
<p>Use Azure Monitor to alert on deviations from configuration policy.</p>"	"<p>Azure Policy: <a href=""https://docs.microsoft.com/azure/governance/policy/tutorials/create-and-manage"">https://docs.microsoft.com/azure/governance/policy/tutorials/create-and-manage</a></p>
<p>Azure Policy built-in definitions for Azure Storage: <a href=""https://docs.microsoft.com/azure/storage/common/policy-reference#microsoftstorage"">https://docs.microsoft.com/azure/storage/common/policy-reference#microsoftstorage</a></p> "
